name,address,city,state,postcode,country,phone,email,website,has_showroom,tags,lat,lon
Harvey Norman Bondi Junction,"Shop 5016 - 5017, Westfield Shoppingtown",Bondi Junction,New South Wales,2022,Australia,02-8305-8800,,,FALSE,,-33.8928168,151.2551822
Harvey Norman Broadway,"Shop 119, Brdway Shopping Centre",Alexandria,New South Wales,2015,Australia,02-9219-5218,,,FALSE,,-33.8837417,151.194767
Harvey Norman Campbelltown,22a Blaxland Rd,Campbelltown,New South Wales,2560,Australia,02-4621-5200,,,TRUE,Showroom with Product Display,-34.0579302,150.8182366
Harvey Norman Caringbah,41-49 Willarong Rd,Taren Poin,New South Wales,2229,Australia,02-9589-8812,,,TRUE,Showroom with Product Display,-34.0294563,151.1212476
Harvey Norman Castle Hill,Cnr Showground Rd & Victoria Ave,Castle Hill,New South Wales,2154,Australia,02-9840-8800,,,TRUE,Showroom with Product Display,-33.7264817,150.9904056
Harvey Norman Gordon,"1st Floor, 802-808 Pacific Hwy",Gordon,New South Wales,2072,Australia,02-9496-9221,,,FALSE,,-33.7550876,151.1519557
Harvey Norman Erina,"Harvey Norman Shopping Complex, Karalta Lane",Erina,New South Wales,2250,Australia,02-4365-9500,,,FALSE,,-33.4368825,151.3863509
Harvey Norman Hornsby,"Westfield Hornsby, Cnr Florence & Muriel Lane",Hornsby,New South Wales,2077,Australia,02-9457-4400,,,FALSE,,-33.7036208,151.1020928
Harvey Norman @ Domanye Gosford,400 Manns Rd,West Gosford,New South Wales,2250,Australia,02-4337-4800,,,FALSE,,-33.4266158,151.3194718
Harvey Norman Liverpool,"Liverpool Mega Centre, 2-18 Orangegrove Rd",Liverpool,New South Wales,2170,Australia,02-9600-3333,,,FALSE,,-33.9075901,150.9199196
Harvey Norman Mcgraths Hill,"Shop 6, 264-272 Windsor Rd",Mcgraths Hill,New South Wales,2756,Australia,02-4587-6800,,,FALSE,,-33.6281869,150.8383494
Harvey Norman Moore Park,"North Supacenta, Cnr South Dowling St & Dacey Ave",Moore Park,New South Wales,2021,Australia,02-9662-9888,,,TRUE,Showroom with Product Display,-33.9030724,151.2150253
Harvey Norman @ Domanye North Ryde,"31-35 Epping Rd, North Ryde",North Ryde,New South Wales,2113,Australia,02-9888-8888,,,TRUE,Showroom with Product Display,-33.7920728,151.1327142
Harvey Norman Penrith,Cnr Mulgoa Rd & Wolseley Sts,Penrith,New South Wales,2750,Australia,02-4737-5111,,,TRUE,Showroom with Product Display,-33.7716731,150.6723504
Harvey Norman Albury,Unit 7/94 Borella Rd,Albury,New South Wales,2640,Australia,02-6023-0800,,,FALSE,,-36.0753839,146.9450878
Harvey Norman Armidale,"Shop 8, Girraween Shopping Ctr, Queen Elizabeth Dr",Armidale,New South Wales,2320,Australia,02-6771-0800,,,FALSE,,-30.5022,151.6473311
Harvey Norman Ballina,26 Boeing Avenue,Ballina,New South Wales,2478,Australia,02-6620-5300,,,FALSE,,-28.8452057,153.5583886
Harvey Norman Bathurst,Cnr Sydney Rd & Ashworth Drv,Bathurst,New South Wales,2795,Australia,02-6332-8800,,,FALSE,,-33.4212873,149.6351819
Harvey Norman Coffs Harbour,252 Pacific Hwy,Coffs Harbour,New South Wales,2450,Australia,02-6653-0300,,,FALSE,,-30.2813189,153.1289811
Harvey Norman Dubbo,223 Cobra St,Dubbo,New South Wales,2830,Australia,02-6826-8800,,,FALSE,,-32.2569086,148.6226984
Harvey Norman Forster,29 Breese Pde,Forster,New South Wales,2428,Australia,02-6554-5700,,,FALSE,,-32.1998108,152.523808
Harvey Norman Goulburn,180-186 Auburn St,Goulburn,New South Wales,2580,Australia,02-4824-3000,,,TRUE,Showroom with Product Display,-34.7546618,149.7178547
Harvey Norman Grafton,125 Prince St,Grafton,New South Wales,2460,Australia,02-6640-1500,,,FALSE,,-29.6875341,152.9348427
Harvey Norman Griffith,Cnr Willandra & Jondaryan Ave,Griffith,New South Wales,2680,Australia,02-6961-0300,,,FALSE,,-34.2934628,146.0417123
Harevy Norman @ Domanye Kotara,18 Bradford Close,Kotara,New South Wales,2289,Australia,02-4941-3900,,,FALSE,,-32.9381417,151.7086683
Harvey Norman Lakehaven,59-83 Pacific Hwy,Lakehaven,New South Wales,2263,Australia,02-4394-6000,,,FALSE,,-33.2428302,151.5019157
Harvey Norman Lismore,17 Zadoc St,Lismore,New South Wales,2480,Australia,02-6623-1400,,,FALSE,,-28.805982,153.2795923
Harvey Norman Lithgow,175 Main St,Lithgow,New South Wales,2790,Australia,02-6351-2321,,,FALSE,,-33.4823641,150.1547083
Harvey Norman Maitland,"Unit 1, 366 New England Hwy",Rutherford,New South Wales,2320,Australia,02-4932-2800,,,FALSE,,-32.7103567,151.5094068
Harvey Norman Newcastle,7 Abdon Close,Bennetts Green,New South Wales,2290,Australia,02-4944-5000,,,TRUE,Showroom with Product Display,-32.9942474,151.6889652
Harvey Norman Nowra,Cnr Central Ave & Princess Hwy,South Nowra,New South Wales,2540,Australia,02-4421-1300,,,FALSE,,-34.9137979,150.5985224
Harvey Norman Orange,Unit 1 Orange Grove Homemakers Centre,Orange,New South Wales,2800,Australia,02-6393-2222,,,FALSE,,-33.2792017,149.0582632
Harvey Norman Port Macquarie,160-174 Hastings River Drv,Port Macquarie,New South Wales,2444,Australia,02-6580-0000,,,FALSE,,-31.426679,152.8766256
Harvey Norman Port Stephens,"Port Stephens Homemaker Centre, Shop 1/60 Port Stephens Drive",Taylors Beach,New South Wales,2316,Australia,02-4919-3100,,,FALSE,,-32.7551241,152.0705346
Harvey Norman Tamworth,43 The Ringers Rd,Tamworth,New South Wales,2340,Australia,02-6765-1100,,,FALSE,,-31.1289959,150.9200559
Harvey Norman Tura Beach,1 Tura Beach Drive,Tura Beach,New South Wales,2548,Australia,02-6497-4100,,,FALSE,,-36.8622002,149.9137082
Harvey Norman Tweed Heads,29-41 Greenway Drv,Tweed Heads,New South Wales,2486,Australia,07-5524-0103,,,FALSE,,-28.2051695,153.5362661
Harvey Norman Wagga Wagga,7-23 Hammond Ave,Wagga Wagga,New South Wales,2650,Australia,02-6933-7000,,,FALSE,,-35.119225,147.3805326
Harvey Norman Warrawong,157-161 King St,Warrawong,New South Wales,2650,Australia,02-4223-8800,,,TRUE,Showroom with Product Display,-34.4846129,150.8804891
Harvey Norman Alice Springs,1 Colson St,Alice Springs,Northern Territory,870,Australia,08-8950-4000,,,FALSE,,-23.6959573,133.877321
Harvey Norman Darwin,644 Stuart Hwy,Berrimah,Northern Territory,828,Australia,08-8922-4111,,,FALSE,,-12.4327189,130.9184455
Harvey Norman Aspley,1411-1419 Gympie Rd,Aspley,Queensland,4034,Australia,07-3834-1100,,,TRUE,Showroom with Product Display,-27.3596618,153.0171932
Harvey Norman Booval,214 Brisbane Road,Booval,Queensland,4304,Australia,07-3280-7400,,,FALSE,,-27.6111935,152.7972475
Harvey Norman Browns Plains,18 Commerce Drv,Browns Plains,Queensland,4113,Australia,07-3380-0600,,,FALSE,,-27.6655679,153.0449771
Harvey Norman @domanye Bundall,29-45 Ashmore Rd,Bundall,Queensland,4217,Australia,07-5553-2100,,,FALSE,,-28.0097927,153.4071636
Harvey Norman Burleigh Waters,1 Santa Maria Crt,Burleigh Waters,Queensland,4220,Australia,07-5586-2000,,,TRUE,Showroom with Product Display,-28.0760907,153.423256
Harvey Norman Capalaba,38-62 Moreton Bay Rd,Capalaba,Queensland,4157,Australia,07-3362-6244,,,FALSE,,-27.5229561,153.1946142
Harvey Norman Carindale,"Shop 1 Homemaker Ctr, Cnr Carindale St & Old Cleveland Rd",Carindale,Queensland,4152,Australia,07-3398-0600,,,TRUE,Showroom with Product Display,-27.5198367,153.1125044
Harvey Norman Everton Park,429 South Pine Rd,Everton Park,Queensland,4053,Australia,07-3550-4444,,,FALSE,,-27.4094253,152.9932357
Harvey Norman Fortitude Valley,"Shop 1, Homemaker Centre",Fortitude Valley,Queensland,4006,Australia,07-3620-6600,,,TRUE,Showroom with Product Display,-27.457826,153.0356579
Harvey Norman Garden City,"Shop 2135, 2049 Logan Rd",Upper Mount Gravatt,Queensland,4122,Australia,07-3347-7000,,,TRUE,Showroom with Product Display,-27.564135,153.0836617
Harvey Norman Loganholme,3878-3892 Pacific Hwy,Loganholme,Queensland,4129,Australia,07-3440-9200,,,FALSE,,-27.6640967,153.1744802
Harvey Norman Maryborough,72-74 Bazaar St,Maryborough,Queensland,4650,Australia,07-4120-2100,,,FALSE,,-25.542411,152.6993009
Harvey Norman Oxley,2098 Ipswich Rd,Oxley,Queensland,4075,Australia,07-3332-1121,,,TRUE,Showroom with Product Display,-27.566246,152.9857862
Harvey Norman Rothwell,"Unit 1, 439-443 Anzac Ave",Rothwell,Queensland,4022,Australia,07-3897-8840,,,FALSE,,-27.2190319,153.0656945
Harvey Norman Bundaberg,125 Takalvan St,Bundaberg,Queensland,4670,Australia,07-4154-5041,,,FALSE,,-24.8904471,152.3175573
Harvey Norman Cairns,101 Spence St,Cairns,Queensland,4870,Australia,07-4050-0300,,,FALSE,,-16.9291106,145.7719599
Harvey Norman Cannonvale,"Shop B2 Centro Whitsunday, 8 Galbraith Drv",Cannonvale,Queensland,4802,Australia,07-4969-8800,,,FALSE,,-20.2771336,148.6964349
Harvey Norman @ Joyce Mayne Chancellor Park,Showroom 2/30 Chancellor Village Blv,Sippy Downs,Queensland,4556,Australia,07-5477-2201,,,FALSE,,-26.7187557,153.047821
Harvey Norman Dalby,49 Patrick St,Dalby,Queensland,4405,Australia,07-4672-4444,,,FALSE,,-27.1808526,151.2660102
Harvey Norman Emerald,21 Ballard Street,Emerald,Queensland,4720,Australia,07-4986-8100,,,FALSE,,-23.5666751,148.1683816
Harvey Norman Gladstone,"Shop 1b, Centro Centre, 220 Dawson Hwy",Gladstone,Queensland,4680,Australia,07-4971-5000,,,FALSE,,-23.8771511,151.226956
Harvey Norman Hervey Bay,33-45 Maryborough Rd,Hervey Bay,Queensland,4655,Australia,07-4120-1100,,,FALSE,,-25.2881539,152.7676633
Harvey Norman Innisfail,57 Ernest St,Innisfail,Queensland,4860,Australia,07-4063-5200,,,FALSE,,-17.5251667,146.0285691
Harvey Norman Mackay,Cnr Bruce Hwy & Heath'S Rd,Mackay,Queensland,4740,Australia,07-4951-8800,,,FALSE,,-21.1418611,149.1707025
Harvey Norman Maroochydore,11-55 Maroochy Boulevard,Maroochydore,Queensland,4558,Australia,07-5452-1500,,,TRUE,Showroom with Product Display,-26.6602963,153.0837537
Joyce Mayne Maroochydore,"Tenancy 15, 11-55 Maroochy Bvd",Maroochydore,Queensland,4558,Australia,07-5475-1821,,,TRUE,Showroom with Product Display,-26.6602963,153.0837537
Harvey Norman Morayfield,"Lot 8, Cnr Station & Morayfield Rd",Morayfield,Queensland,4506,Australia,07-5428-8000,,,FALSE,,-27.1053809,152.9476706
Harvey Norman Rockhampton,396 - 398 Yaamba Rd,Rockhampton,Queensland,4700,Australia,07-4923-5000,,,FALSE,,-23.3444006,150.5224188
Harvey Norman Toowoomba,"910-932 Ruthven St, Qld 4350",Toowoomba,Queensland,4350,Australia,07-4636-7308,,,FALSE,,-27.597042,151.947754
Harvey Norman Townsville,103-142 Duckworth St,Garbutt,Queensland,4814,Australia,07-4775-8800,,,FALSE,,-19.2777134,146.756478
Harvey Norman Warwick Qld,Cnr Palmerin & Victoria Sts,Warwick,Queensland,4370,Australia,07-4666-9000,,,FALSE,,-28.2137979,152.0306591
Harvey Norman City Cross,"L1, 50 City Cross Arcade",Adelaide,South Australia,5000,Australia,08-8168 8800,,,FALSE,,-34.9239441,138.6009838
Harvey Norman Gepps Cross,750 Main North Rd,Enfield,South Australia,5085,Australia,08-8342-8888,,,TRUE,Showroom with Product Display,-34.8394853,138.6054999
Harvey Norman Mt Barker,"6 Dutton Rd, Adelaide Hills Homemaker Centre",Mt Barker,South Australia,5251,Australia,08-8393-0800,,,FALSE,,-35.0676401,138.8655266
Harvey Norman Munno Para,Lot 2005 Main North Rd,Smithfield,South Australia,5114,Australia,08-8254-0700,,,TRUE,Showroom with Product Display,-34.6891583,138.6880678
Harvey Norman Noarlunga,3/2 Seaman Drv,Noarlunga,South Australia,5168,Australia,08-8329-5400,,,FALSE,,-35.1402664,138.5023679
Harvey Norman Port Lincoln,Crn Verran Terrace & St Andrews Terrace,Port Lincoln,South Australia,5606,Australia,08-8683-7700,,,FALSE,,-34.7353895,135.8546276
Harvey Norman Woodville,853 - 867 Port Rd,Woodville,South Australia,5011,Australia,08-8406-0130,,,TRUE,Showroom with Product Display,-34.8757544,138.5307948
Harvey Norman Burnie,45 Marine Tce & Edward St,Burnie,Tasmania,7320,Australia,03-6436-8800,,,FALSE,,-41.0589271,145.9086739
Harvey Norman Cambridge Park,"Unit B11, 66 Kennedy Drv",Cambridge Park,Tasmania,7170,Australia,03-6248-3300,,,FALSE,,-42.8334593,147.4678631
Harvey Norman Devonport,Cnr Fenton Way & Best St,Devonport,Tasmania,7310,Australia,03-6420-7641,,,FALSE,,-41.1770929,146.3587759
Harvey Norman Hobart City,171 Murray St,Hobart,Tasmania,7000,Australia,03-6230-1100,,,FALSE,,-42.8798382,147.3215074
Harvey Norman Moonah,191-197 Main Rd,Moonah,Tasmania,7009,Australia,03-6277-7777,,,FALSE,,-42.8403949,147.2909511
Harvey Norman Chadstone,699 Warrigal Rd,Chadstone,Victoria,3148,Australia,03-9567-6608,,,TRUE,Showroom with Product Display,-37.8794367,145.0923891
Harvey Norman Chirnside Park,286 Maroondah Hwy,Chirnside Park,Victoria,3138,Australia,03-9722-4400,,,FALSE,,-37.7673244,145.3030743
Harvey Norman Dandenong,141-165 Frankston-Dandenong Rd,Dandenong,Victoria,3175,Australia,03-9706-9992,,,TRUE,Showroom with Product Display,-38.0135927,145.2166974
Harvey Norman Fountain Gate,8 Overland Drv,Narre Warren,Victoria,3085,Australia,03-8796-6777,,,TRUE,Showroom with Product Display,-38.021811,145.3055367
Harvey Norman Frankston,87 Cranbourne Rd,Frankston,Victoria,3199,Australia,03-8796-0600,,,TRUE,Showroom with Product Display,-38.146767,145.1353915
Harvey Norman Hoppers Crossing,"Unit 1, 201-219 Old Geelong Rd",Hopppers Crossing,Victoria,3029,Australia,03-8734-0000,,,FALSE,,-37.8749084,144.7109985
Harvey Norman Moorabbin,420 South Rd,Moorabbin,Victoria,3189,Australia,03-9269-3460,,,TRUE,Showroom with Product Display,-37.9348984,145.0419304
Harvey Norman Mornington,"Building C3, Peninsula Lifestyle Cnte",Mornington,Victoria,3031,Australia,03-5970-2500,,,TRUE,Showroom with Product Display,-38.22882,145.0600448
Harvey Norman Nunawading,400 Whitehorse Rd,Nunawading,Victoria,3131,Australia,03-9837-1200,,,TRUE,Showroom with Product Display,-37.818179,145.1816117
Harvey Norman Preston,121 Bell St,Preston,Victoria,3072,Australia,03-9269-3300,,,TRUE,Showroom with Product Display,-37.7457943,145.0086739
Harvey Norman Richmond,479 Bridge Rd,Richmond,Victoria,3131,Australia,03-8416-4100,,,TRUE,Showroom with Product Display,-37.8239091,145.1762197
Harvey Norman Springvale,Unit 26/917 Princes Hwy,Springvale,Victoria,3171,Australia,03-9518-8531,,,FALSE,,-37.9275833,145.1438245
Harvey Norman Sunshine,484 Ballarat Rd,Sunshine,Victoria,3020,Australia,03-9334-6000,,,FALSE,,-37.7756787,144.828095
Harvey Norman Thomastown,308-320 Settlement Rd,Thomastown,Victoria,3074,Australia,03-9463-4777,,,FALSE,,-37.6877106,145.0271182
Harvey Norman Taylors Lakes,450 Melton Hwy,Taylors Lakes,Victoria,3038,Australia,03 9449 6300,,,FALSE,,-37.6953575,144.7770825
Harvey Norman Ararat,47-49 Vincent Street,Ararat,Victoria,3377,Australia,03-5352-9100,,,FALSE,,-37.2853346,142.9302172
Harvey Norman Bairnsdale,294 Main Rd,Bairnsdale,Victoria,3875,Australia,03-5153-9700,,,FALSE,,-37.8365866,147.5993731
Harvey Norman Ballarat,1322 Howitt St,Wendouree,Victoria,3355,Australia,03-5332-5100,,,FALSE,,-37.538571,143.8228902
Harvey Norman Bendigo,Cnr High & Furness St,Kangaroo Flat,Victoria,3555,Australia,03-5447-6000,,,FALSE,,-36.7968388,144.2438821
Harvey Norman Broadmeadows,1185-1197 Pascoe Vale Rd,Broadmeadows,Victoria,3047,Australia,03-9261-2800,,,FALSE,,-37.6767819,144.9209957
Harvey Norman Echuca,161-163 Ogilvie St,Echuca,Victoria,3564,Australia,03-5483-1900,,,FALSE,,-36.1404431,144.7511231
Harvey Norman Geelong,420 Princess Hwy,Corio,Victoria,3214,Australia,03-5272-9900,,,FALSE,,-38.0675269,144.3806694
Harvey Norman Hamilton,"Shop 10, Hamilton Central Plaza, 148 Gray St",Hamilton,Victoria,3300,Australia,03-5551-3500,,,FALSE,,-37.7434483,142.0245077
Harvey Norman Mildura,Cnr Fifteenth St & Etiwanda Ave,Mildura,Victoria,3500,Australia,03-5051-2200,,,FALSE,,-34.2256343,142.1590037
Harvey Norman Moe,19 Moore St,Moe,Victoria,3825,Australia,03-5127-9500,,,FALSE,,-38.1740589,146.2617608
Harvey Norman Morwell,232 Commercial Road,Morwell,Victoria,3840,Australia,03-5120-0200,,,FALSE,,-38.2380161,146.3991671
Harvey Norman Shepparton,7950 Goulburn Valley Hwy,Shepparton,Victoria,3630,Australia,03-5820-2950,,,FALSE,,-36.4149458,145.3930089
Harvey Norman Swan Hill,68 Nyah Rd,Swan Hill,Victoria,3585,Australia,03-5032-0500,,,FALSE,,-35.332087,143.5545199
Harvey Norman Traralgon,123 Argyle St,Traralgon,Victoria,3844,Australia,03-5174-8177,,,FALSE,,-38.1928529,146.5530898
Harvey Norman Wangaratta,8-12 Murphy St,Wangaratta,Victoria,3677,Australia,03-5723-8800,,,FALSE,,-36.3566059,146.3250165
Harvey Norman Warragul,"6, 9 & 11, the Link Shopping Centre, Cnr Victoria & Palmerston St",Warragul,Victoria,3820,Australia,03-5623-9000,,,FALSE,,-38.1692482,145.9469958
Harvey Norman Warrnambool,84 Raglan Parade,Warnnambool,Victoria,3280,Australia,03-5564-7700,,,FALSE,,-38.3829014,142.5233578
Harvey Norman Waurn Ponds,33 Princes Hwy,Waurn Ponds,Victoria,3219,Australia,03-5240-6200,,,FALSE,,-38.2048558,144.3079523
Harvey Norman City West,25 Sutherland St,West Perth,Western Australia,6005,Australia,08-9215-8600,,,FALSE,,-31.9443205,115.8464462
Harvey Norman Joondalup,36 Clarke Cres,Joondalup,Western Australia,6027,Australia,08-9301-3311,,,FALSE,,-31.7490786,115.7662203
Harvey Norman Malaga,24 Kent Way,Malaga,Western Australia,6090,Australia,08-9270-6300,,,FALSE,,-31.8554761,115.8933973
Harvey Norman Midland,Cnr Lloyd & Clayton Sts,Midland,Western Australia,6056,Australia,08-9374-8600,,,FALSE,,-31.8918569,116.0134727
Harvey Norman O'Connor,133 Garling St,O'Connor,Western Australia,6163,Australia,08-9337-0888,,,FALSE,,-32.0576656,115.7943418
Harvey Norman Osborne Park,469-475 Scarborough Beach Rd,Osborne Park,Western Australia,6017,Australia,08-9441-1100,,,TRUE,Showroom with Product Display,-31.9054375,115.8072508
Harvey Norman Port Kennedy,400-402 Saltaire Way,Port Kennedy,Western Australia,6172,Australia,08-9524-0100,,,FALSE,,-32.3727541,115.7564225
Harvey Norman Armadale,10 Prospect Rd,Armadale,Western Australia,6112,Australia,08-9498-4400,,,FALSE,,-32.1515645,116.0140386
Harvey Norman Broome,2 Haynes Street,Broome,Western Australia,6725,Australia,08-9193-5030,,,FALSE,,-17.9649171,122.2227991
Harvey Norman Bunbury,Cnr Sandridge & Denning Rds,Bunbury,Western Australia,6230,Australia,08-9722-0100,,,FALSE,,-33.3270001,115.6408421
Harvey Norman Karratha,Unit 5 Lot 3818 Balmoral Rd,Karratha,Western Australia,6714,Australia,08-9186-8120,,,FALSE,,-20.7357896,116.842455
Harvey Norman Mandurah,9 Gordan Rd,Mandurah,Western Australia,6210,Australia,08-9582-5800,,,FALSE,,-32.5361038,115.7424077
